word,word_onsets,word_offsets,boundary,agreement
i,15.015000076904297,15.31499994506836,,
began,15.165000010986327,15.49499993774414,,
my,15.44500001953125,15.70499998901367,,
illustrious,15.70499998901367,16.324999943847654,,
career,16.275000025634764,16.894999980468747,,
in,17.144999930419917,17.25499996582031,,
journalism,17.20500004760742,17.914999998779297,,
in,18.48500003540039,18.59500007080078,,
the,18.59500007080078,18.65500000854492,,
bronx,18.65500000854492,19.225000045166013,,
where,19.225000045166013,19.3649999597168,,
i,19.3649999597168,19.485000014648435,,
toiled,19.485000014648435,20.15500006713867,,
as,20.37499995849609,20.484999993896484,,
a,20.484999993896484,20.515000052490237,,
hard,20.515000052490237,20.875000037841797,,
boiled,20.875000037841797,21.145000026855467,,
reporter,21.145000026855467,21.995000072021483,,
for,22.11499994750976,22.235000002441407,,
the,22.235000002441407,22.324999998779298,,
ram,22.324999998779298,22.744999921875,,
the,23.93499991333008,24.044999948730467,,
student,24.044999948730467,24.66500008300781,,
newspaper,24.66500008300781,25.275000018310543,,
at,25.275000018310543,25.385000053710936,,
fordham,25.385000053710936,25.7049999609375,,
university,25.7049999609375,26.35499997436523,1.0,0.2292682926829268
and,27.094999984130855,27.205000019531248,,
one,27.205000019531248,27.34499993408203,,
day,27.34499993408203,27.49500004760742,,
im,27.49500004760742,27.60500008300781,,
walking,27.60500008300781,27.86500005249023,,
toward,27.86500005249023,28.03500002563476,,
the,28.03500002563476,28.094999963378903,,
campus,28.094999963378903,28.435000089111323,,
center,28.435000089111323,28.795000074462887,,
and,28.97500006713867,29.1450000402832,,
out,29.1450000402832,29.31500001342773,,
comes,29.31500001342773,29.585000002441404,,
the,29.585000002441404,29.70500005737304,,
elusive,29.70500005737304,30.41500000854492,,
dean,30.64499991943359,30.98500004516601,,
mcgowan,30.98500004516601,31.625000039062492,,
architect,32.32499997070312,32.82500005004883,,
of,32.82500005004883,32.91500004638672,,
a,32.91500004638672,32.95499994506835,,
policy,32.95499994506835,33.75500007202148,,
to,34.07499997924805,34.21500007324218,,
replace,34.21500007324218,34.69499993408203,,
fordham,34.69499993408203,35.21500005249023,,
traditionally,35.21500005249023,36.08499995727539,,
working,36.4549999621582,37.0450000378418,,
to,37.0450000378418,37.14500005371093,,
middle,37.14500005371093,37.3749999645996,,
class,37.3749999645996,37.68500003173828,,
students,37.68500003173828,38.28499994750976,,
with,38.775000007324216,39.23500000854492,,
wealthier,39.23500000854492,39.8349999243164,,
more,39.8349999243164,40.03499995605468,,
prestigious,40.03499995605468,40.65499991088867,,
ones,40.65499991088867,41.24499998657227,1.0,0.3170731707317073
so,42.21500008666992,42.38500005981445,,
i,42.38500005981445,42.44499999755859,,
whip,42.44499999755859,42.65500004882812,,
out,42.65500004882812,42.75500006469726,,
my,42.75500006469726,42.86499992065429,,
notebook,42.86499992065429,43.20500004638672,,
and,43.20500004638672,43.29500004272461,,
i,43.29500004272461,43.334999941406245,,
go,43.3850000390625,43.54499999267578,,
up,43.49500007446289,43.594999910888674,,
to,43.594999910888674,43.73500000488281,,
him,43.73500000488281,43.8450000402832,,
and,43.8450000402832,43.93500003662109,,
i,43.93500003662109,43.96499991577148,,
say,43.96499991577148,44.18499998657226,,
dean,44.22500006469726,44.41500007690429,,
mcgowan,44.41500007690429,44.92499999633788,,
is,45.464999974365234,45.61500008789062,,
it,45.61500008789062,45.685000045166014,,
true,45.685000045166014,46.10499996826172,,
that,46.10499996826172,46.215000003662105,,
fordham,46.215000003662105,46.534999910888665,,
university,46.534999910888665,47.02499997070312,,
plans,47.02499997070312,47.31499999877929,,
to,47.31499999877929,47.44500007324218,,
raise,47.44500007324218,47.7250000817871,,
tuition,47.7250000817871,48.12499996582031,,
substantially,48.12499996582031,48.85499995605469,,
above,48.85499995605469,49.065000007324215,,
the,49.065000007324215,49.175000042724605,,
inflation,49.175000042724605,49.6649999230957,,
rate,49.6649999230957,49.91500005249023,,
and,50.09500004516601,50.21499992065429,,
if,50.21499992065429,50.30499991699218,,
so,50.30499991699218,50.92500005126953,,
wouldnt,51.1349999230957,51.43499997070312,,
that,51.43499997070312,51.54500000610352,,
be,51.54500000610352,51.6350000024414,,
a,51.6350000024414,51.66500006103515,,
betrayal,51.66500006103515,52.234999918212885,,
of,52.234999918212885,52.32499991455077,,
its,52.32499991455077,52.46500000854492,,
mission,52.46500000854492,52.95500006835937,1.0,0.3219512195121951
and,54.744999975585934,54.85500001098632,,
he,54.85500001098632,54.92499996826172,,
stops,54.92499996826172,55.52500006347656,,
and,55.52500006347656,55.64499993896484,,
looks,55.64499993896484,55.84499997070312,,
at,55.84499997070312,55.90500008789062,,
me,55.90500008789062,56.26500007324218,,
and,57.02499994262695,57.28499991210937,,
he,57.20499993530273,57.34500002929687,,
says,57.26500005249023,57.82500006958007,,
listen,58.66499991577148,58.90500002563476,,
up,58.90500002563476,59.08500001831055,,
punk,59.08500001831055,59.5149999609375,,
and,59.835000047607416,59.99500000122069,,
right,59.99500000122069,60.24499995117186,,
then,60.24499995117186,60.58500007690429,,
theres,60.58500007690429,60.79499994873046,,
a,60.79499994873046,60.82500000732422,,
blur,60.82500000732422,61.69499991210937,,
in,61.83500000610351,61.9450000415039,,
the,61.9450000415039,62.00499997924804,,
corner,62.00499997924804,62.26499994873047,,
of,62.26499994873047,62.32500006591796,,
my,62.32500006591796,62.4950000390625,,
eye,62.4950000390625,62.64499997314452,,
which,62.64499997314452,62.81499994628906,,
becomes,62.81499994628906,63.245000068359374,,
this,63.245000068359374,63.52500007690429,,
figure,63.52500007690429,64.32500002441405,,
holding,64.58499999389649,64.9750000378418,,
a,64.9750000378418,65.03499997558593,,
cream,65.03499997558593,65.35500006225585,,
pie,65.35500006225585,65.70500002807617,,
which,65.70500002807617,65.90500005981444,,
becomes,65.90500005981444,66.3149999633789,,
the,66.3149999633789,66.39499994018554,,
guy,66.39499994018554,67.09500005126952,,
standing,67.28500006347656,67.89499999877928,,
next,67.89499999877928,68.16499998779297,,
to,68.16499998779297,68.2650000036621,,
me,68.2650000036621,68.66500006713866,,
mashing,69.02500005249023,69.67500006591796,,
a,69.67500006591796,69.72499998413086,,
cream,69.72499998413086,70.11500002807617,,
pie,70.11500002807617,70.56500000976563,,
into,70.56500000976563,70.75500002197265,,
dean,70.75500002197265,71.01499999145507,,
mcgowans,71.01499999145507,71.48500001220702,,
face,71.48500001220702,72.01499997070312,1.0,0.3073170731707317
and,73.60500002563477,73.89500005371093,,
and,73.94499997192382,74.11499994506835,,
then,74.11499994506835,74.22499998046874,,
runs,74.22499998046874,74.52500002807616,,
away,74.52500002807616,74.82500007568359,,
and,77.4950000866699,77.66500005981445,,
the,77.66500005981445,77.94500006835936,,
dean,77.94500006835936,78.58500006225584,,
is,78.84500003173828,79.20500001708983,,
covered,79.20500001708983,79.5249999243164,,
with,79.5249999243164,79.64499997924804,,
cream,79.64499997924804,80.0250000036621,,
so,82.30499997070311,82.5050000024414,,
i,82.5050000024414,82.5450000805664,,
give,82.5450000805664,82.72500007324219,,
him,82.72500007324219,82.82500008911131,,
a,82.82500008911131,82.85499996826171,,
moment,82.85499996826171,83.37500008666991,,
and,85.53499999877928,85.7949999682617,,
then,85.63500001464843,85.74500005004882,,
i,85.74500005004882,85.82500002685546,,
say,85.82500002685546,86.06499995727538,,
dean,86.06499995727538,86.24499994995116,,
mcgowan,86.24499994995116,86.69499993164062,,
would,86.69499993164062,86.845000045166,,
you,86.845000045166,86.9150000024414,,
care,86.9150000024414,87.09499999511718,,
to,87.09499999511718,87.17499997192382,,
comment,87.17499997192382,87.71499994995116,,
on,87.71499994995116,87.79499992675781,,
this,87.79499992675781,87.9450000402832,,
latest,87.9450000402832,88.24500008789062,,
attack,88.24500008789062,88.56499999511718,,
and,91.834999921875,92.03499995361328,,
the,91.95499997680665,92.02499993408205,,
dean,92.02499993408205,92.23499998535156,,
say,92.23499998535156,92.40499995849608,,
yes,92.47499991577148,93.2050000854492,,
i,93.58499993041993,93.69499996582032,,
would,93.69499996582032,93.79499998168944,,
care,93.79499998168944,93.95499993530272,,
to,93.95499993530272,94.01500005249022,,
comment,94.01500005249022,94.51499995239256,,
fuck,95.1649999658203,95.76500006103517,,
you,95.80499995971678,96.28499999999998,1.0,0.3414634146341463
so,98.22500002075196,98.38499997436524,,
i,98.38499997436524,98.44499991210937,,
race,98.44499991210937,98.79500005737304,,
back,98.79500005737304,98.93499997192382,,
to,98.93499997192382,99.05500002685548,,
the,99.05500002685548,99.12499998413084,,
newsroom,99.12499998413084,99.5950000048828,,
with,99.5950000048828,99.7050000402832,,
my,99.7349999194336,99.83499993530272,,
scoop,99.83499993530272,100.6050000036621,,
and,100.87499999267575,101.03499994628903,,
i,101.00500006713868,101.35500003295896,,
and,101.35500003295896,101.46500006835936,,
i,101.46500006835936,101.49499994750975,,
find,101.49499994750975,101.73500005737304,,
the,101.73500005737304,101.85499993286132,,
editor,101.85499993286132,102.47500006713864,,
jim,102.56500006347656,102.80499999389647,,
dwyer,102.80499999389647,103.19500003784178,,
whos,103.19500003784178,103.33499995239256,,
a,103.33499995239256,103.36500001098632,,
senior,103.36500001098632,103.91500000854492,,
and,104.47500002563476,104.65500001831052,,
he,104.65500001831052,104.78499991333008,,
will,104.78499991333008,104.91499998779295,,
go,104.91499998779295,105.04500006225584,,
on,105.04500006225584,105.25499993408202,,
to,105.25499993408202,105.3649999694824,,
win,105.3649999694824,105.4750000048828,,
a,105.4750000048828,105.50500006347656,,
pulitzer,105.50500006347656,105.81499995117188,,
prize,105.81499995117188,106.26499993286131,,
that,106.26499993286131,106.44499992553708,,
is,106.44499992553708,106.615000078125,,
true,106.615000078125,106.9450000048828,,
and,107.85499998779297,108.27499991088868,,
hes,108.17500007446289,108.4550000830078,,
a,108.3749999267578,108.40499998535157,,
big,108.40499998535157,108.81500006835935,,
guy,108.73499991210936,109.20499993286133,,
i,109.20499993286133,109.32499998779296,,
pitch,109.32499998779296,109.57499993774412,,
him,109.57499993774412,109.64500007446289,,
my,109.64500007446289,109.75499993041991,,
story,109.75499993041991,110.14499997436522,,
i,110.14499997436522,110.20499991210936,,
tell,110.20499991210936,110.44500002197265,,
him,110.44500002197265,110.5450000378418,,
what,110.5450000378418,110.66499991333006,,
ive,110.66499991333006,110.7649999291992,,
seen,110.7649999291992,111.25499998901368,,
and,111.84500006469726,111.99499999877928,,
he,111.99499999877928,112.09500001464843,,
says,112.09500001464843,112.48500005859374,,
dean,113.3750000024414,113.57500003417968,,
mcgowan,113.57500003417968,114.10499999267576,,
that,114.4250000793457,115.3250000427246,,
guys,115.24500006591796,115.46499995727538,,
a,115.46499995727538,115.50500003540036,,
dick,115.62499991088866,116.06500005249022,,
write,116.06500005249022,116.29499996337888,,
it,116.29499996337888,116.40499999877927,,
up,116.40499999877927,116.96500001586912,1.0,0.3268292682926829
so,118.05499999145506,118.23499998413084,,
im,118.23499998413084,118.37500007812498,,
banging,118.37500007812498,118.65500008666992,,
out,118.65500008666992,118.7450000830078,,
my,118.7450000830078,118.8449999194336,,
story,118.8449999194336,119.22499994384764,,
and,119.22499994384764,119.31499994018554,,
i,119.31499994018554,119.38500007690428,,
know,119.38500007690428,119.6650000854492,,
its,119.6650000854492,119.85499991821288,,
good,119.85499991821288,120.12500008666991,,
and,120.55500002929686,120.67500008422851,,
then,120.67500008422851,120.78499994018554,,
i,120.78499994018554,120.81499999877929,,
start,120.89499997558592,121.35499997680662,,
to,121.3850000354004,121.49500007080076,,
make,121.49500007080076,121.80499995849608,,
it,121.80499995849608,121.94500005249024,,
better,122.85500003540038,123.21500002075194,1.0,0.1756097560975609
by,126.13499998168945,126.25500003662108,,
adding,126.25500003662108,126.55500008422852,,
an,126.55500008422852,126.66499994018557,,
element,126.66499994018557,127.16500001953123,,
of,127.40499994995116,127.53500002441406,,
embellishment,127.53500002441406,128.1249999206543,,
reporters,129.27500001342773,129.83500003051756,,
call,129.83500003051756,130.17499997680665,,
this,130.17499997680665,130.76500005249022,,
making,131.27499997192382,131.755000012207,,
shit,131.755000012207,132.0949999584961,,
up,132.0949999584961,132.33500006835936,1.0,0.2634146341463415
and,135.52500001831052,135.66499993286132,,
they,135.66499993286132,135.7950000073242,,
recommend,135.7950000073242,136.52499999755858,,
against,136.60499997436523,137.3550000036621,,
crossing,137.3550000036621,137.7749999267578,,
that,137.7749999267578,137.93500005981443,,
line,137.93500005981443,138.3150000842285,,
but,139.98499993652342,140.19499998779295,,
i,140.19499998779295,140.3350000817871,,
had,140.3350000817871,140.49500003540038,,
just,140.49500003540038,140.72499994628905,,
seen,140.72499994628905,141.1450000488281,,
the,141.44499991699217,141.61500006958008,,
line,141.61500006958008,142.07500007080077,,
crossed,142.07500007080077,142.64499992797852,,
between,142.64499992797852,143.08500006958008,,
a,143.08500006958008,143.17500006591797,,
high,143.17500006591797,143.3949999572754,,
powered,143.3949999572754,143.6950000048828,,
dean,143.6950000048828,144.18500006469725,,
and,144.58499994873046,144.7250000427246,,
assault,144.7250000427246,145.02499991088865,,
with,145.02499991088865,145.1449999658203,,
a,145.1449999658203,145.17500002441406,,
pastry,145.17500002441406,145.83500005737304,,
and,146.8550000756836,146.97499995117187,1.0,0.1365853658536585
i,146.97499995117187,147.03500006835935,,
kind,147.03500006835935,147.28500001831054,,
of,147.28500001831054,147.35499997558594,,
liked,147.35499997558594,147.65500002319334,,
it,147.65500002319334,147.77500007812498,,
so,148.77500005737303,148.91499997192383,,
the,148.91499997192383,148.99499994873045,,
first,148.99499994873045,149.27499995727538,,
thing,149.27499995727538,149.4850000085449,,
i,149.27499995727538,149.40500003173827,,
did,149.4850000085449,149.79500007568356,,
was,150.39499999145505,150.5150000463867,,
i,150.5150000463867,150.55499994506835,,
gave,150.63499992187496,150.76499999633788,,
the,150.76499999633788,150.824999934082,,
figure,150.824999934082,151.2450000366211,,
a,151.2450000366211,151.27499991577147,,
name,151.27499991577147,151.88500003051757,,
i,152.1349999804687,152.21499995727538,,
called,152.21499995727538,152.4250000085449,,
him,152.4250000085449,152.52500002441406,,
pie,152.52500002441406,152.8449999316406,,
man,152.8449999316406,153.13499995971677,,
capital,153.13499995971677,153.46500006591796,,
p,153.46500006591796,153.8950000085449,,
capital,153.9850000048828,154.38500006835935,,
m,154.38500006835935,154.7049999755859,,
and,155.50499992309568,155.65500003662106,,
i,155.65500003662106,155.69499993530272,,
described,155.69499993530272,156.18499999511715,,
him,156.18499999511715,156.28500001098632,,
as,156.28500001098632,156.40500006591793,,
a,156.40500006591793,156.43499994506834,,
cape,156.43499994506834,156.8149999694824,,
wearing,156.8149999694824,157.20500001342774,,
masked,157.20500001342774,157.7950000891113,,
avenger,157.7950000891113,158.40500002441405,,
though,159.9349999621582,159.9950000793457,,
in,159.92499994262693,160.07500005615233,,
fact,160.07500005615233,160.34500004516602,,
hed,160.34500004516602,160.4649999206543,,
been,160.4649999206543,160.60500001464845,,
capeless,160.60500001464845,161.2650000476074,,
and,162.0249999169922,162.14499997192382,,
i,162.14499997192382,162.17500003051757,,
said,162.17500003051757,162.3650000427246,,
that,162.3650000427246,162.475000078125,,
as,162.475000078125,162.57499991455077,,
he,162.57499991455077,162.65500007080078,,
fled,162.65500007080078,162.95499993896482,,
the,162.95499993896482,163.01500005615233,,
scene,163.01500005615233,163.60499995239255,,
he,163.97499995727537,164.1449999304199,,
clicked,164.1449999304199,164.524999954834,,
his,164.524999954834,164.70499994750975,,
heels,164.70499994750975,165.20500002685546,,
in,165.20500002685546,165.3250000817871,,
rakish,165.3250000817871,165.68500006713867,,
glee,165.68500006713867,166.05500007202147,,
and,169.20499994384764,169.31499997924803,,
i,169.31499997924803,169.34500003784177,,
gave,169.34500003784177,169.61500002685543,,
him,169.61500002685543,169.70500002319335,,
a,169.70500002319335,169.74499992187498,,
catchphrase,169.74499992187498,170.71500002197263,,
in,171.6450000439453,171.81500001708983,,
latin,171.81500001708983,172.24499995971678,,
i,175.6950000585937,175.75499999633786,,
said,175.75499999633786,175.96500004760742,,
that,175.96500004760742,176.06500006347656,,
he,176.06500006347656,176.1250000012207,,
cried,176.1250000012207,176.515000045166,,
out,176.515000045166,176.85499999145506,,
ego,177.21499997680664,177.60500002075193,,
sum,177.60500002075193,178.28499991333007,,
non,178.5849999609375,179.05499998168943,,
an,179.05499998168943,179.53500002197262,,
bestia,179.53500002197262,180.28500005126952,,
which,181.75500005126952,181.94500006347656,,
means,181.94500006347656,182.2449999316406,,
i,182.2449999316406,182.98499994140624,,
am,182.98499994140624,183.17499995361325,,
not,183.17499995361325,183.6449999743652,,
an,183.78500006835932,183.99499994018552,,
animal,183.99499994018552,184.8050000866699,1.0,0.224390243902439
which,186.14500001220705,186.40499998168943,,
makes,186.40499998168943,186.85499996337887,,
no,186.9649999987793,187.34500002319336,,
sense,187.34500002319336,188.02499991577147,,
i,189.8550000805664,189.97499995605463,,
needed,189.97499995605463,190.2549999645996,,
something,190.2549999645996,190.8650000793457,,
im,191.5149999133301,191.7049999255371,,
catholic,191.7049999255371,192.30500002075192,,
latin,192.30500002075192,192.63499994750973,,
just,192.63499994750973,192.87500005737303,,
comes,192.87500005737303,193.1149999877929,,
to,193.1149999877929,193.21500000366208,,
me,193.21500000366208,193.42500005493164,1.0,0.2048780487804878
so,195.43500003295892,195.584999967041,,
i,195.584999967041,195.625000045166,,
finish,195.625000045166,195.9349999328613,,
my,195.9349999328613,196.0249999291992,,
story,196.0249999291992,196.44500003173823,,
and,196.60499998535155,196.71500002075197,,
i,196.71500002075197,196.7450000793457,,
hand,196.7450000793457,196.9649999707031,,
it,196.9649999707031,197.02500008789065,,
to,197.02500008789065,197.1349999438476,,
dwyer,197.1349999438476,197.61499998413083,,
and,197.73500003906247,197.8250000354004,,
he,197.8250000354004,197.91500003173823,,
reads,197.91500003173823,198.1950000402832,,
and,198.1950000402832,198.2950000561523,,
he,198.2950000561523,198.40499991210936,,
says,198.40499991210936,198.7749999169922,,
pie,199.4050000708008,199.68500007934568,,
man,199.68500007934568,200.18499997924803,,
i,201.07499992309567,201.21500001708984,,
love,201.21500001708984,201.505000045166,,
it,201.505000045166,201.69500005737305,,
page,201.69500005737305,202.0550000427246,,
one,202.0550000427246,202.41500002807612,1.0,0.2292682926829268
and,204.5649999206543,204.75499993286127,,
thats,204.75499993286127,205.3249999694824,,
how,205.4650000634765,205.61499999755856,,
the,205.61499999755856,205.684999954834,,
first,205.684999954834,206.11500007690427,,
line,206.11500007690427,206.575000078125,,
got,206.9250000439453,207.13499991577143,,
crossed,207.13499991577143,207.6949999328613,1.0,0.3609756097560975
a,209.39500002319332,209.665000012207,,
few,209.54499995727537,209.74499998901365,,
days,209.74499998901365,209.9550000402832,,
later,209.9550000402832,210.2150000097656,,
i,210.2150000097656,210.24500006835936,,
get,210.24500006835936,210.38499998291013,,
a,210.38499998291013,210.41500004150387,,
letter,210.41500004150387,210.85500000366207,,
it,212.01499993652345,212.1550000305176,,
says,212.1550000305176,212.45500007812495,,
dear,212.45500007812495,212.63500007080077,,
jim,212.63500007080077,212.94499995849608,,
good,213.5149999951172,213.65500008911133,,
story,213.65500008911133,214.19500006713864,,
nice,214.28500006347653,214.6450000488281,,
details,214.6849999475097,215.55500003173827,,
if,216.33499994018555,216.4549999951172,,
you,216.4549999951172,216.5950000891113,,
want,216.5950000891113,216.77500008178708,,
to,216.77500008178708,216.84500003906248,,
see,216.84500003906248,217.1250000476074,,
me,217.1250000476074,217.36499997802733,,
again,217.36499997802733,218.0049999719238,,
in,218.0049999719238,218.1849999645996,,
action,218.1849999645996,218.75500000122068,,
be,219.59500002685544,219.73499994140624,,
on,219.73499994140624,219.84499997680663,,
the,219.84499997680663,219.9049999145508,,
steps,219.9049999145508,220.29499995849608,,
of,220.29499995849608,220.40499999389647,,
